priority,address_id,territory,street,house_number,destination_lat,destination_lon,router_distance_km,router_duration_min,snap_distance_m,detour_factor,coverage_level,best_control_id,anomaly_reasons,expected_information_gain,recommended_manual_action,owner_review_required
MEDIUM,n2321749470,Гиска,Госпитальная улица,89,46.78278,29.44855,5.8160,7.042,34.22,1.103,WEAK_COVERAGE,MY-007,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749476,Гиска,Госпитальная улица,45,46.7853,29.45606,6.3897,8.037,28.09,1.343,UNCOVERED,MY-012,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321749478,Гиска,Госпитальная улица,35,46.78457,29.45701,6.4839,8.263,15.44,1.350,UNCOVERED,MY-012,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321749482,Гиска,Госпитальная улица,8,46.78606,29.45664,6.3849,8.182,9.46,1.369,UNCOVERED,MY-012,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2321749488,Гиска,улица Курило,13,46.78493,29.44516,5.7713,6.792,30.53,1.108,WEAK_COVERAGE,MY-007,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
CRITICAL,n2321749493,Гиска,улица Ленина,102,46.78265,29.44423,5.8779,6.563,8.47,1.077,STRONG_COVERAGE,MY-008,ADDRESS_ANCHOR_DISAGREEMENT,tests an unresolved failure or unique network branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2321749495,Гиска,улица Бориса Главана,91,46.78284,29.44533,5.8121,6.620,30.19,1.077,STRONG_COVERAGE,MY-006,DESTINATION_SNAP_GT30M;STRONG_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321833111,Бендеры,улица Толстого,21,46.82686,29.45683,5.7248,6.763,10.98,2.823,WEAK_COVERAGE,MY-083,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321834527,Бендеры,улица Лермонтова,38,46.82484,29.45579,5.4143,6.338,12.45,2.599,WEAK_COVERAGE,MY-053,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321855313,Бендеры,улица Лермонтова,60,46.82264,29.45609,5.1595,5.728,13.58,2.502,WEAK_COVERAGE,MY-053,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2321855335,Бендеры,улица Добродеева,37,46.82328,29.45562,5.3275,6.055,14.13,2.544,WEAK_COVERAGE,MY-084,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321951519,Бендеры,Гербовецкая улица,43,46.82272,29.45425,5.2933,5.885,7.00,2.405,STRONG_COVERAGE,MY-035,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321993999,Бендеры,Путейская улица,2,46.82025,29.46522,5.1359,5.952,3.43,3.614,STRONG_COVERAGE,MY-053,LOCAL_CORRIDOR_DISCONTINUITY;STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321994003,Бендеры,улица Тургенева,1,46.82034,29.46409,5.0704,5.790,1.77,3.378,STRONG_COVERAGE,MY-053,LOCAL_CORRIDOR_DISCONTINUITY;STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2321994025,Бендеры,переулок Бородина,9,46.82312,29.46493,5.2664,6.137,8.52,3.796,UNCOVERED,MY-085,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2322107948,Бендеры,Фонтанная улица,8,46.83582,29.46384,6.5431,7.282,20.16,3.306,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2322107950,Бендеры,Фонтанная улица,22,46.83483,29.46351,6.4304,7.010,13.80,3.338,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2322107952,Бендеры,Фонтанная улица,35,46.83424,29.46363,6.3735,6.960,12.63,3.393,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2322107953,Бендеры,Фонтанная улица,41,46.83372,29.46338,6.2877,6.962,9.97,3.383,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2322107954,Бендеры,Фонтанная улица,24,46.83425,29.46325,6.3672,6.943,15.63,3.348,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2322107955,Бендеры,Фонтанная улица,36,46.83279,29.46284,6.1812,6.708,17.18,3.370,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2322107957,Бендеры,улица Герцена,1,46.8361,29.46313,6.6465,7.532,8.11,3.258,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2322112853,Бендеры,улица Герцена,17,46.83505,29.46276,6.5265,7.243,10.49,3.286,UNCOVERED,MY-002,STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2322112854,Бендеры,улица Богдана Хмельницкого,2,46.83465,29.46313,6.4332,6.983,7.33,3.322,UNCOVERED,MY-002,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323051089,Бендеры,улица Калинина,59,46.82018,29.47862,0.9028,1.457,4.44,1.685,UNCOVERED,MY-068,UNCOVERED,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323119091,Бендеры,Комсомольская улица,81,46.81959,29.48393,0.8326,1.283,5.34,1.731,WEAK_COVERAGE,MY-038,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152058,Парканы,улица Горького,1,46.83546,29.52788,4.5512,5.852,14.76,1.250,STRONG_COVERAGE,MY-022,HOUSE_NUMBER_DISAGREEMENT;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STREET_NAME_VARIANT;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323152061,Парканы,улица Горького,128,46.82683,29.52937,5.5354,8.168,12.89,1.567,PARTIAL_COVERAGE,MY-022,PARTIAL_COVERAGE;ROUTE_STREET_LOOP,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152062,Парканы,улица Будённого,190,46.82228,29.52881,5.7488,7.993,12.86,1.652,WEAK_COVERAGE,MY-026,ROUTE_STREET_LOOP;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2323152065,Парканы,улица Маяковского,185,46.82154,29.52921,5.6907,8.113,8.80,1.619,STRONG_COVERAGE,MY-026,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323152078,Парканы,улица Котовского,175,46.82162,29.52458,5.3968,7.078,9.00,1.706,WEAK_COVERAGE,MY-026,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152082,Парканы,улица Чкалова,117,46.82712,29.52764,5.3576,7.708,7.37,1.573,WEAK_COVERAGE,MY-026,ROUTE_STREET_LOOP;STREET_DISTANCE_CONTINUITY_OUTLIER;UNIQUE_TERMINAL_BRANCH;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323152090,Парканы,улица Пушкина,2,46.83498,29.51208,3.3247,3.948,21.08,1.317,STRONG_COVERAGE,MY-028,SNAPPED_STREET_NAME_MISMATCH;STRONG_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323152095,Парканы,Комсомольская улица,20,46.83528,29.51582,3.6184,4.387,28.02,1.296,WEAK_COVERAGE,MY-028,SNAPPED_STREET_NAME_MISMATCH;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323152098,Парканы,улица Котовского,1,46.83521,29.51788,3.7863,4.662,20.72,1.293,WEAK_COVERAGE,MY-028,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152099,Парканы,улица Ворошилова,2,46.83514,29.5196,3.9576,4.925,25.86,1.300,WEAK_COVERAGE,MY-022,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323152108,Парканы,Пионерская улица,7,46.82771,29.52439,5.0296,6.847,5.75,1.588,WEAK_COVERAGE,MY-028,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323152111,Парканы,Пионерская улица,32,46.82736,29.52431,5.0093,6.798,27.96,1.587,WEAK_COVERAGE,MY-028,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323152121,Парканы,улица Ворошилова,90,46.82765,29.52317,4.8303,6.562,31.25,1.571,WEAK_COVERAGE,MY-028,DESTINATION_SNAP_GT30M;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152130,Парканы,улица Будённого,155,46.82212,29.52715,5.6209,7.687,8.83,1.675,WEAK_COVERAGE,MY-026,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152131,Парканы,улица Ворошилова,157,46.82188,29.52721,5.6259,7.747,15.01,1.674,WEAK_COVERAGE,MY-026,ROUTE_STREET_LOOP;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152132,Парканы,улица Маяковского,165,46.82127,29.52726,5.5399,7.752,7.39,1.644,STRONG_COVERAGE,MY-026,STREET_NAME_VARIANT;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2323152139,Парканы,улица Котовского,26,46.83251,29.5177,4.1183,5.198,17.38,1.471,WEAK_COVERAGE,MY-028,ROUTE_STREET_LOOP;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323152145,Парканы,Пионерская улица,100а,46.82676,29.52091,4.8036,6.253,11.76,1.661,WEAK_COVERAGE,MY-028,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152150,Парканы,Комсомольская улица,111,46.82599,29.51951,4.5799,6.027,11.99,1.649,WEAK_COVERAGE,MY-028,STREET_DISTANCE_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152152,Парканы,Комсомольская улица,39,46.83172,29.516,3.9900,4.970,14.80,1.507,WEAK_COVERAGE,MY-028,WEAK_COVERAGE;WEAK_COVERAGE_NEAR_THRESHOLD,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323152154,Парканы,Комсомольская улица,42,46.83159,29.51541,3.8622,4.942,28.80,1.485,STRONG_COVERAGE,MY-028,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE;UNIQUE_TERMINAL_BRANCH,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323261760,Бендеры,Комсомольская улица,58,46.81807,29.48917,1.0339,1.730,16.70,1.304,WEAK_COVERAGE,MY-038,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
CRITICAL,n2323280446,Бендеры,улица Ткаченко,19,46.83082,29.49057,1.5103,2.442,140.66,1.578,UNCOVERED,MY-025,DESTINATION_SNAP_GT100M;STREET_DURATION_CONTINUITY_OUTLIER;UNCOVERED,tests an unresolved failure or unique network branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323343667,Парканы,Пионерская улица,2,46.82494,29.51491,4.3410,5.635,22.63,1.793,WEAK_COVERAGE,MY-025,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323343668,Парканы,Комсомольская улица,168,46.81989,29.52433,5.3917,7.270,6.98,1.703,WEAK_COVERAGE,MY-021,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323343672,Парканы,улица Пушкина,46,46.8315,29.51319,3.7237,4.612,4.70,1.527,STRONG_COVERAGE,MY-028,STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323343678,Парканы,улица Пушкина,101,46.82593,29.51756,4.4062,5.588,7.66,1.676,STRONG_COVERAGE,MY-028,STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,EXTENDED_SET: inspect for higher confidence across the cluster,True
HIGH,n2323343679,Парканы,улица Пушкина,110,46.82586,29.51731,4.4051,5.587,12.93,1.688,STRONG_COVERAGE,MY-028,STREET_DISTANCE_CONTINUITY_OUTLIER;STRONG_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323343681,Парканы,Пионерская улица,1,46.82537,29.51555,4.4022,5.782,7.39,1.781,WEAK_COVERAGE,MY-025,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323343682,Парканы,Пионерская улица,103,46.8252,29.51444,4.3156,5.573,15.76,1.808,WEAK_COVERAGE,MY-025,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323343687,Парканы,Коммунистическая улица,4,46.82301,29.51514,4.5498,5.958,26.14,1.867,WEAK_COVERAGE,MY-025,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
HIGH,n2323343688,Парканы,улица Калинина,1,46.82204,29.51545,4.6890,6.152,14.90,1.900,WEAK_COVERAGE,MY-025,ROUTE_STREET_LOOP;STREET_DISTANCE_CONTINUITY_OUTLIER;STREET_DURATION_CONTINUITY_OUTLIER;WEAK_COVERAGE,tests a high-risk anomaly cluster,MINIMAL_SET: inspect one route visually and record exact corridor/snap,True
MEDIUM,n2323343690,Парканы,улица Калинина,2,46.822,29.51658,4.7656,6.335,24.71,1.866,WEAK_COVERAGE,MY-025,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
MEDIUM,n2323343691,Парканы,улица Калинина,27,46.82283,29.51822,4.9178,6.700,7.57,1.840,WEAK_COVERAGE,MY-025,ROUTE_STREET_LOOP;WEAK_COVERAGE,extends a partially covered local branch,EXTENDED_SET: inspect for higher confidence across the cluster,True
